CustomerID,Recency,Frequency,Monetary,Cluster,Segment_Name
12420.0,64,1,600.39,3,At Risk
12421.0,16,4,807.04,3,At Risk
12422.0,96,3,803.5600000000001,3,At Risk
12423.0,1,8,1859.31,0,Loyal Customers
12424.0,163,2,1760.96,1,Lost Customers
12425.0,78,1,777.2,3,At Risk
12426.0,195,1,582.73,1,Lost Customers
12427.0,22,3,825.8,3,At Risk
12428.0,26,9,7956.46,2,Champions
12429.0,9,4,3750.4,0,Loyal Customers
12430.0,43,1,256.4,3,At Risk
12431.0,36,15,6487.45,2,Champions
12432.0,43,5,5059.32,0,Loyal Customers
12434.0,85,2,806.14,3,At Risk
12435.0,80,2,7829.89,0,Loyal Customers
12436.0,100,1,509.01,3,At Risk
12437.0,2,18,4951.41,2,Champions
12438.0,14,2,2906.85,0,Loyal Customers
12441.0,367,1,173.55,1,Lost Customers
12442.0,3,1,172.06,3,At Risk
12444.0,21,5,5005.46,0,Loyal Customers
12445.0,22,1,133.4,3,At Risk
12446.0,58,1,1002.3100000000001,3,At Risk
12447.0,243,1,476.49,1,Lost Customers
12448.0,44,1,449.45,3,At Risk
12449.0,22,4,4067.29,0,Loyal Customers
12450.0,156,2,197.88,1,Lost Customers
12451.0,11,5,9035.52,2,Champions
12452.0,17,2,430.57,3,At Risk
12453.0,134,1,707.09,3,At Risk
12454.0,56,1,3528.34,0,Loyal Customers
12455.0,73,6,2466.86,0,Loyal Customers
12456.0,44,3,3181.04,0,Loyal Customers
12457.0,66,7,2363.23,0,Loyal Customers
12458.0,71,2,947.4,3,At Risk
12461.0,94,2,826.88,3,At Risk
12462.0,19,2,1189.59,3,At Risk
12463.0,53,4,1344.78,3,At Risk
12464.0,10,8,1212.05,0,Loyal Customers
12465.0,17,2,742.1899999999999,3,At Risk
12468.0,188,2,729.5400000000001,1,Lost Customers
12472.0,32,7,6572.11,2,Champions
12473.0,29,5,3938.5499999999997,0,Loyal Customers
12474.0,17,18,7375.79,2,Champions
12475.0,54,1,723.38,3,At Risk
12476.0,16,11,6816.42,2,Champions
12478.0,4,1,680.99,3,At Risk
12479.0,11,1,527.2,3,At Risk
12480.0,28,4,3281.63,0,Loyal Customers
12481.0,23,10,5596.32,2,Champions
12483.0,17,8,2484.98,0,Loyal Customers
12484.0,33,6,4541.72,0,Loyal Customers
12488.0,10,3,1298.66,3,At Risk
12489.0,336,1,334.93,1,Lost Customers
12490.0,5,10,5417.93,2,Champions
12491.0,39,1,460.40000000000003,3,At Risk
12492.0,63,2,263.21000000000004,3,At Risk
12493.0,166,2,433.74,1,Lost Customers
12494.0,16,7,1246.1000000000001,0,Loyal Customers
12497.0,82,1,1043.1,3,At Risk
12498.0,21,3,403.70000000000005,3,At Risk
12500.0,23,11,4257.82,0,Loyal Customers
12501.0,337,1,2169.39,1,Lost Customers
12502.0,96,5,3723.87,0,Loyal Customers
12504.0,18,2,482.04999999999995,3,At Risk
12506.0,233,1,73.5,1,Lost Customers
12507.0,134,3,1304.81,3,At Risk
12508.0,26,2,398.27,3,At Risk
12509.0,284,1,176.5,1,Lost Customers
12510.0,143,2,982.5699999999999,3,At Risk
12512.0,66,2,138.03,3,At Risk
12513.0,113,1,612.29,3,At Risk
12514.0,267,1,1017.68,1,Lost Customers
12515.0,353,1,383.7,1,Lost Customers
12516.0,78,2,1312.06,3,At Risk
12517.0,28,5,2502.84,0,Loyal Customers
12518.0,1,5,2056.89,0,Loyal Customers
12519.0,64,1,340.84,3,At Risk
12520.0,79,5,2634.26,0,Loyal Customers
12521.0,143,1,599.68,3,At Risk
12522.0,39,2,192.72,3,At Risk
12523.0,19,11,1789.77,0,Loyal Customers
12524.0,9,8,4485.72,0,Loyal Customers
12526.0,1,3,1316.66,3,At Risk
12527.0,82,3,348.71000000000004,3,At Risk
12528.0,9,6,1933.48,0,Loyal Customers
12530.0,60,4,1662.28,3,At Risk
12531.0,15,1,125.22,3,At Risk
12532.0,30,1,349.83000000000004,3,At Risk
12534.0,131,1,1089.18,3,At Risk
12535.0,92,2,716.35,3,At Risk
12536.0,43,3,12601.830000000002,2,Champions
12538.0,29,1,363.95,3,At Risk
12539.0,22,4,5568.35,0,Loyal Customers
12541.0,30,3,981.18,3,At Risk
12544.0,36,1,372.7,3,At Risk
12545.0,75,2,1000.39,3,At Risk
12546.0,47,2,1161.5,3,At Risk
12547.0,198,2,207.79999999999998,1,Lost Customers
12548.0,166,1,95.19999999999999,1,Lost Customers
12550.0,79,1,964.83,3,At Risk
12551.0,358,1,168.0,1,Lost Customers
12552.0,39,2,437.82,3,At Risk
12553.0,8,10,3692.28,0,Loyal Customers
12556.0,50,2,603.71,3,At Risk
12557.0,16,5,11990.960000000001,2,Champions
12558.0,8,1,269.96,3,At Risk
12559.0,311,2,561.71,1,Lost Customers
12560.0,5,3,2134.01,3,At Risk
12561.0,303,1,238.85,1,Lost Customers
12562.0,8,7,3781.7400000000002,0,Loyal Customers
12564.0,261,1,456.9,1,Lost Customers
12565.0,289,1,145.92,1,Lost Customers
12566.0,86,1,351.65,3,At Risk
12567.0,23,10,9401.28,2,Champions
12571.0,40,2,519.61,3,At Risk
12572.0,9,2,1020.42,3,At Risk
12573.0,227,1,160.54000000000002,1,Lost Customers
12574.0,316,1,218.45,1,Lost Customers
12576.0,36,5,1315.83,3,At Risk
12577.0,35,3,657.8,3,At Risk
12578.0,21,2,2794.51,0,Loyal Customers
12579.0,78,1,440.42,3,At Risk
12580.0,247,1,415.7,1,Lost Customers
12581.0,40,1,197.71,3,At Risk
12582.0,239,2,511.36,1,Lost Customers
12583.0,3,15,7281.38,2,Champions
12584.0,4,9,2338.15,0,Loyal Customers
12585.0,234,2,2040.1,1,Lost Customers
12586.0,17,1,196.94000000000003,3,At Risk
12587.0,8,1,144.0,3,At Risk
12588.0,39,1,214.89999999999998,3,At Risk
12589.0,29,2,646.68,3,At Risk
12590.0,211,2,9864.26,2,Champions
12591.0,317,1,452.84999999999997,1,Lost Customers
12592.0,92,2,437.6,3,At Risk
12593.0,109,3,418.09999999999997,3,At Risk
12594.0,38,10,3338.2200000000003,0,Loyal Customers
12596.0,51,2,618.27,3,At Risk
12597.0,19,4,3811.22,0,Loyal Customers
12598.0,10,8,3023.08,0,Loyal Customers
12599.0,29,7,1032.58,0,Loyal Customers
12600.0,29,10,2599.04,0,Loyal Customers
12601.0,190,5,577.0600000000001,1,Lost Customers
12602.0,59,1,153.12,3,At Risk
12603.0,22,1,739.1999999999999,3,At Risk
12604.0,79,2,254.18,3,At Risk
12607.0,60,1,1579.51,3,At Risk
12609.0,78,3,1126.85,3,At Risk
12610.0,23,5,2099.54,0,Loyal Customers
12611.0,52,1,1193.32,3,At Risk
12612.0,74,1,704.0400000000001,3,At Risk
12613.0,57,5,3344.38,0,Loyal Customers
12614.0,278,1,315.6,1,Lost Customers
12615.0,2,4,2291.19,0,Loyal Customers
12616.0,95,2,713.3,3,At Risk
12617.0,29,1,355.53,3,At Risk
12618.0,22,1,177.31,3,At Risk
12619.0,16,9,3641.24,0,Loyal Customers
12620.0,15,3,1339.41,3,At Risk
12622.0,232,1,180.1,1,Lost Customers
12623.0,276,1,305.1,1,Lost Customers
12624.0,106,2,641.13,3,At Risk
12625.0,212,2,2683.82,1,Lost Customers
12626.0,23,9,6620.48,2,Champions
12627.0,11,7,4478.53,0,Loyal Customers
12628.0,4,3,786.46,3,At Risk
12630.0,10,2,1270.88,3,At Risk
12631.0,57,1,640.5,3,At Risk
12633.0,59,4,2163.98,0,Loyal Customers
12635.0,90,2,1689.18,3,At Risk
12637.0,67,8,6021.9,2,Champions
12638.0,33,1,671.69,3,At Risk
12639.0,239,1,486.1,1,Lost Customers
12640.0,24,3,1174.58,3,At Risk
12641.0,115,1,185.9,3,At Risk
12642.0,25,3,1013.26,3,At Risk
12643.0,128,6,3344.64,0,Loyal Customers
12644.0,130,1,477.91,3,At Risk
12645.0,34,4,1775.18,3,At Risk
12646.0,5,2,1346.97,3,At Risk
12647.0,22,12,3722.82,0,Loyal Customers
12648.0,155,1,318.05,1,Lost Customers
12649.0,107,3,623.51,3,At Risk
12650.0,3,1,314.44,3,At Risk
12651.0,335,1,114.0,1,Lost Customers
12652.0,331,1,919.98,1,Lost Customers
12653.0,149,2,2209.85,3,At Risk
12654.0,11,5,601.98,3,At Risk
12656.0,17,5,4051.17,0,Loyal Customers
12657.0,11,4,1643.18,3,At Risk
12658.0,19,1,686.05,3,At Risk
12659.0,30,1,91.68,3,At Risk
12660.0,11,1,245.1,3,At Risk
12662.0,1,11,3849.78,0,Loyal Customers
12664.0,8,9,4881.88,0,Loyal Customers
12665.0,325,1,63.0,1,Lost Customers
12667.0,58,1,620.13,3,At Risk
12668.0,12,4,3807.15,0,Loyal Customers
12669.0,151,3,2744.0299999999997,0,Loyal Customers
12670.0,10,5,2996.05,0,Loyal Customers
12672.0,330,1,225.89999999999998,1,Lost Customers
12673.0,5,2,610.52,3,At Risk
12674.0,39,4,1970.6,0,Loyal Customers
12676.0,25,6,1331.39,0,Loyal Customers
12679.0,59,4,1113.02,3,At Risk
12680.0,1,4,862.81,3,At Risk
12683.0,4,15,8476.57,2,Champions
12684.0,8,7,2283.63,0,Loyal Customers
12685.0,28,6,2863.08,0,Loyal Customers
12688.0,114,1,4873.8099999999995,0,Loyal Customers
12689.0,26,2,1247.61,3,At Risk
12690.0,206,1,389.01,1,Lost Customers
12691.0,28,6,1035.8,0,Loyal Customers
12693.0,127,4,855.91,3,At Risk
12694.0,70,2,869.67,3,At Risk
12695.0,7,4,582.1,3,At Risk
12697.0,29,3,957.59,3,At Risk
12700.0,8,4,4939.99,0,Loyal Customers
12701.0,80,2,797.71,3,At Risk
12702.0,20,1,219.0,3,At Risk
12703.0,71,1,283.55,3,At Risk
12704.0,7,8,2340.84,0,Loyal Customers
12705.0,15,9,6868.29,2,Champions
12707.0,292,1,603.42,1,Lost Customers
12708.0,30,10,2712.91,0,Loyal Customers
12709.0,15,15,9736.52,2,Champions
12710.0,97,3,1149.02,3,At Risk
12712.0,29,13,4396.13,2,Champions
12713.0,1,1,848.55,3,At Risk
12714.0,9,5,4708.86,0,Loyal Customers
12715.0,106,1,353.86,3,At Risk
12716.0,4,2,1053.49,3,At Risk
12717.0,151,2,1030.98,1,Lost Customers
12718.0,71,1,238.25,3,At Risk
12719.0,5,2,644.95,3,At Risk
12720.0,3,25,5781.73,2,Champions
12721.0,32,6,2656.13,0,Loyal Customers
12722.0,85,4,997.63,3,At Risk
12723.0,4,5,725.07,3,At Risk
12724.0,5,4,1031.41,3,At Risk
12726.0,28,7,2609.1,0,Loyal Customers
12727.0,11,7,3980.7,0,Loyal Customers
12728.0,71,4,836.33,3,At Risk
12729.0,114,1,453.01,3,At Risk
12732.0,180,1,236.26000000000002,1,Lost Customers
12733.0,234,1,383.95,1,Lost Customers
12734.0,353,1,110.39999999999999,1,Lost Customers
12735.0,315,2,779.5699999999999,1,Lost Customers
12736.0,333,1,234.0,1,Lost Customers
12739.0,78,2,1013.04,3,At Risk
12740.0,64,1,427.6,3,At Risk
12743.0,134,2,546.43,3,At Risk
12747.0,2,11,4196.01,0,Loyal Customers
12749.0,4,5,4090.88,0,Loyal Customers
12750.0,129,1,275.88,3,At Risk
12752.0,81,1,4366.78,0,Loyal Customers
12754.0,236,3,3010.74,1,Lost Customers
12755.0,281,2,3811.95,1,Lost Customers
12756.0,87,1,112.07999999999998,3,At Risk
12757.0,16,13,7857.1,2,Champions
12758.0,117,2,2791.59,3,At Risk
12759.0,52,3,1531.44,3,At Risk
12762.0,8,2,1898.52,3,At Risk
12763.0,138,2,494.08,3,At Risk
12764.0,317,1,1693.88,1,Lost Customers
12766.0,4,7,6989.63,2,Champions
12769.0,239,1,1143.6,1,Lost Customers
12770.0,211,1,1351.45,1,Lost Customers
12772.0,60,1,892.47,3,At Risk
12775.0,17,5,1386.04,0,Loyal Customers
12778.0,20,6,822.23,0,Loyal Customers
12779.0,38,8,3981.36,0,Loyal Customers
12781.0,64,2,826.74,3,At Risk
12782.0,5,5,2330.92,0,Loyal Customers
12783.0,2,6,2225.91,0,Loyal Customers
12784.0,9,2,574.42,3,At Risk
12785.0,364,1,311.95,1,Lost Customers
12787.0,10,3,463.66,3,At Risk
12789.0,65,1,91.85,3,At Risk
12790.0,192,1,324.92,1,Lost Customers
12792.0,257,1,400.53999999999996,1,Lost Customers
12793.0,335,2,545.48,1,Lost Customers
12794.0,53,2,860.41,3,At Risk
12795.0,19,1,430.48,3,At Risk
12797.0,366,1,254.03,1,Lost Customers
12798.0,10,3,6977.04,0,Loyal Customers
12802.0,187,1,427.58,1,Lost Customers
12808.0,37,3,483.65000000000003,3,At Risk
12809.0,178,1,489.31,1,Lost Customers
12811.0,261,3,514.85,1,Lost Customers
12812.0,45,1,229.64000000000001,3,At Risk
12814.0,102,1,125.92,3,At Risk
12815.0,148,2,1063.46,3,At Risk
12816.0,96,2,572.2,3,At Risk
12817.0,281,1,166.04,1,Lost Customers
12818.0,262,1,1542.08,1,Lost Customers
12820.0,3,4,942.34,3,At Risk
12821.0,214,1,92.72,1,Lost Customers
12822.0,71,2,948.88,3,At Risk
12823.0,75,5,1759.5,0,Loyal Customers
12824.0,60,1,397.12,3,At Risk
12826.0,3,7,1474.72,0,Loyal Customers
12827.0,6,3,430.15000000000003,3,At Risk
12828.0,3,6,1018.71,0,Loyal Customers
12829.0,337,2,293.0,1,Lost Customers
12830.0,38,6,6814.64,2,Champions
12831.0,262,1,215.05,1,Lost Customers
12832.0,32,2,383.03,3,At Risk
12833.0,145,1,417.38,3,At Risk
12834.0,283,1,312.38,1,Lost Customers
12836.0,59,4,2612.86,0,Loyal Customers
12837.0,173,1,134.1,1,Lost Customers
12838.0,34,2,683.13,3,At Risk
12839.0,3,14,5591.42,2,Champions
12840.0,144,4,2726.77,0,Loyal Customers
12841.0,5,25,4022.35,2,Champions
12842.0,70,2,1118.99,3,At Risk
12843.0,66,8,1702.26,0,Loyal Customers
12844.0,29,2,325.96000000000004,3,At Risk
12845.0,267,4,354.09,1,Lost Customers
12847.0,22,1,871.54,3,At Risk
12849.0,31,2,1050.8899999999999,3,At Risk
12851.0,97,1,135.18,3,At Risk
12852.0,295,1,311.55,1,Lost Customers
12853.0,135,6,1957.1000000000001,0,Loyal Customers
12854.0,79,3,1324.5,3,At Risk
12856.0,8,6,2179.93,0,Loyal Customers
12857.0,211,2,1106.4,1,Lost Customers
12863.0,52,1,521.2,3,At Risk
12864.0,138,1,147.12,3,At Risk
12865.0,26,2,1568.23,3,At Risk
12866.0,283,1,559.12,1,Lost Customers
12867.0,26,7,4036.82,0,Loyal Customers
12868.0,186,6,1607.0600000000002,1,Lost Customers
12871.0,84,2,380.64,3,At Risk
12872.0,327,2,599.97,1,Lost Customers
12873.0,282,1,374.0,1,Lost Customers
12875.0,143,2,343.2300000000001,3,At Risk
12876.0,58,2,2218.02,3,At Risk
12877.0,4,12,1535.77,0,Loyal Customers
12878.0,236,2,854.99,1,Lost Customers
12879.0,45,3,573.22,3,At Risk
12881.0,276,1,298.0,1,Lost Customers
12882.0,9,2,1463.04,3,At Risk
12883.0,25,4,703.47,3,At Risk
12884.0,88,1,309.05,3,At Risk
12885.0,63,3,1175.22,3,At Risk
12886.0,68,2,1378.4,3,At Risk
12888.0,214,2,354.12,1,Lost Customers
12890.0,24,1,380.46999999999997,3,At Risk
12891.0,186,3,331.0,1,Lost Customers
12893.0,31,1,188.14,3,At Risk
12895.0,42,2,372.8,3,At Risk
12897.0,205,2,216.5,1,Lost Customers
12902.0,265,1,138.68,1,Lost Customers
12904.0,18,2,509.58,3,At Risk
12906.0,12,5,2919.81,0,Loyal Customers
12908.0,176,2,750.0,1,Lost Customers
12909.0,40,5,2178.67,0,Loyal Customers
12910.0,23,8,3075.04,0,Loyal Customers
12912.0,3,5,1662.3,0,Loyal Customers
12913.0,5,5,2483.63,0,Loyal Customers
12915.0,149,2,363.65,1,Lost Customers
12916.0,139,4,3006.15,0,Loyal Customers
12917.0,128,1,594.0,3,At Risk
12919.0,8,6,1335.19,0,Loyal Customers
12920.0,17,1,164.23,3,At Risk
12922.0,161,1,405.38,1,Lost Customers
12923.0,64,1,176.97,3,At Risk
12924.0,88,4,933.7,3,At Risk
12925.0,5,2,694.05,3,At Risk
12928.0,35,5,2062.7000000000003,0,Loyal Customers
12929.0,312,1,117.85,1,Lost Customers
12930.0,78,2,415.8,3,At Risk
12933.0,24,3,607.53,3,At Risk
12935.0,2,7,2160.7,0,Loyal Customers
12936.0,17,4,1063.9,3,At Risk
12937.0,15,4,1504.27,3,At Risk
12938.0,26,1,114.14,3,At Risk
12939.0,64,8,11581.8,2,Champions
12940.0,55,2,913.54,3,At Risk
12942.0,131,3,683.9,3,At Risk
12944.0,36,2,604.51,3,At Risk
12945.0,288,1,462.95,1,Lost Customers
12947.0,144,6,1603.99,0,Loyal Customers
12948.0,16,7,2064.95,0,Loyal Customers
12949.0,31,8,4167.22,0,Loyal Customers
12950.0,2,3,1843.0,3,At Risk
12951.0,9,6,1064.07,0,Loyal Customers
12952.0,6,4,1387.79,3,At Risk
12953.0,10,1,329.85,3,At Risk
12955.0,1,11,4757.16,2,Champions
12956.0,306,1,108.07,1,Lost Customers
12957.0,10,8,4017.54,0,Loyal Customers
12962.0,7,2,266.39,3,At Risk
12963.0,8,8,1856.63,0,Loyal Customers
12965.0,89,1,771.91,3,At Risk
12966.0,10,1,160.18,3,At Risk
12967.0,358,2,1660.9,1,Lost Customers
12968.0,112,1,135.95,3,At Risk
12970.0,7,4,452.24,3,At Risk
12974.0,198,1,144.8,1,Lost Customers
12976.0,212,1,738.6,1,Lost Customers
12977.0,156,1,39.239999999999995,1,Lost Customers
12980.0,158,9,7374.900000000001,2,Champions
12981.0,30,2,372.21999999999997,3,At Risk
12982.0,243,1,390.54,1,Lost Customers
12984.0,19,1,97.5,3,At Risk
12985.0,1,2,1239.38,3,At Risk
12987.0,74,2,558.7,3,At Risk
12988.0,292,1,535.32,1,Lost Customers
12989.0,3,15,6924.110000000001,2,Champions
12990.0,31,3,409.5,3,At Risk
12991.0,23,2,503.76,3,At Risk
12993.0,23,4,414.76,3,At Risk
12994.0,4,3,974.4200000000001,3,At Risk
12995.0,85,1,211.32,3,At Risk
12997.0,22,4,1226.89,3,At Risk
12999.0,196,3,455.88,1,Lost Customers
13000.0,107,3,534.85,3,At Risk
13001.0,4,13,9818.82,2,Champions
13002.0,318,1,120.94999999999999,1,Lost Customers
13003.0,106,3,149.05,3,At Risk
13004.0,12,18,5655.91,2,Champions
13005.0,174,2,513.7,1,Lost Customers
13006.0,56,1,81.57,3,At Risk
13008.0,323,1,229.46999999999997,1,Lost Customers
13012.0,9,8,1661.8400000000001,0,Loyal Customers
13013.0,1,13,4810.9400000000005,2,Champions
13014.0,11,10,3466.2799999999997,0,Loyal Customers
13015.0,53,5,3346.28,0,Loyal Customers
13016.0,73,3,789.89,3,At Risk
13017.0,7,1,204.0,3,At Risk
13018.0,16,28,7277.7,2,Champions
13021.0,4,9,2616.38,0,Loyal Customers
13023.0,64,2,689.9,3,At Risk
13026.0,1,5,975.36,3,At Risk
13027.0,114,6,6912.0,2,Champions
13028.0,23,2,661.3199999999999,3,At Risk
13029.0,31,3,1247.5,3,At Risk
13030.0,11,2,799.48,3,At Risk
13032.0,52,2,1010.18,3,At Risk
13033.0,357,1,190.55,1,Lost Customers
13034.0,55,2,642.77,3,At Risk
13035.0,74,2,921.88,3,At Risk
13037.0,138,3,881.07,3,At Risk
13038.0,80,3,908.46,3,At Risk
13040.0,9,2,676.99,3,At Risk
13043.0,273,1,516.42,1,Lost Customers
13044.0,291,1,560.47,1,Lost Customers
13045.0,99,1,305.28000000000003,3,At Risk
13046.0,31,2,629.31,3,At Risk
13047.0,32,10,3237.54,0,Loyal Customers
13048.0,14,4,1835.91,0,Loyal Customers
13049.0,64,2,656.6800000000001,3,At Risk
13050.0,15,17,5836.86,2,Champions
13052.0,212,1,348.15000000000003,1,Lost Customers
13055.0,78,3,1214.41,3,At Risk
13058.0,25,3,271.40000000000003,3,At Risk
13059.0,250,1,183.4,1,Lost Customers
13060.0,254,1,307.53,1,Lost Customers
13061.0,72,1,248.61,3,At Risk
13062.0,191,1,346.98,1,Lost Customers
13064.0,13,4,1119.49,3,At Risk
13066.0,24,2,470.8,3,At Risk
13067.0,82,1,115.46000000000001,3,At Risk
13068.0,10,2,344.0,3,At Risk
13069.0,1,24,4436.12,2,Champions
13070.0,192,1,228.8,1,Lost Customers
13072.0,267,1,177.15,1,Lost Customers
13075.0,130,1,919.61,3,At Risk
13077.0,1,4,729.27,3,At Risk
13078.0,3,26,12627.94,2,Champions
13079.0,4,5,220.10000000000002,3,At Risk
13080.0,179,1,58.08,1,Lost Customers
13082.0,126,9,3613.63,0,Loyal Customers
13083.0,4,2,303.75,3,At Risk
13085.0,158,2,416.08000000000004,1,Lost Customers
13090.0,9,14,8910.82,2,Champions
13091.0,28,1,345.82,3,At Risk
13092.0,71,5,477.83,3,At Risk
13093.0,276,8,7832.47,2,Champions
13094.0,21,12,1927.3200000000002,0,Loyal Customers
13095.0,71,1,74.39999999999999,3,At Risk
13097.0,33,10,6010.42,2,Champions
13099.0,99,1,207.35999999999999,3,At Risk
13101.0,234,1,101.19,1,Lost Customers
13102.0,1,24,6424.09,2,Champions
13103.0,40,1,243.94,3,At Risk
13104.0,3,6,1098.48,0,Loyal Customers
13106.0,133,1,76.5,3,At Risk
13107.0,44,4,1531.6200000000001,3,At Risk
13109.0,60,2,786.54,3,At Risk
13110.0,31,7,1488.67,0,Loyal Customers
13113.0,1,24,12245.960000000001,2,Champions
13115.0,12,4,2294.78,0,Loyal Customers
13116.0,138,1,501.14,3,At Risk
13117.0,22,8,984.91,0,Loyal Customers
13118.0,20,5,1197.81,3,At Risk
13120.0,239,1,30.599999999999998,1,Lost Customers
13121.0,269,1,283.73,1,Lost Customers
13122.0,94,2,922.39,3,At Risk
13124.0,90,3,3866.33,0,Loyal Customers
13126.0,5,8,2099.64,0,Loyal Customers
13127.0,78,1,259.17,3,At Risk
13130.0,94,1,64.0,3,At Risk
13131.0,23,3,1073.3,3,At Risk
13132.0,262,1,77.3,1,Lost Customers
13133.0,274,2,109.8,1,Lost Customers
13134.0,86,4,1793.58,3,At Risk
13135.0,197,1,3096.0,1,Lost Customers
13136.0,56,5,2607.61,0,Loyal Customers
13137.0,11,8,3650.41,0,Loyal Customers
13138.0,22,6,962.39,0,Loyal Customers
13139.0,16,7,5064.94,0,Loyal Customers
13140.0,108,3,423.72,3,At Risk
13141.0,85,5,2388.75,0,Loyal Customers
13142.0,19,1,307.09,3,At Risk
13144.0,333,1,110.95,1,Lost Customers
13145.0,40,4,618.52,3,At Risk
13146.0,26,1,228.91,3,At Risk
13147.0,10,4,712.8000000000001,3,At Risk
13148.0,29,12,3707.12,0,Loyal Customers
13149.0,14,4,1676.06,3,At Risk
13151.0,296,1,1257.8700000000001,1,Lost Customers
13153.0,6,1,486.22,3,At Risk
13155.0,33,4,971.76,3,At Risk
13157.0,49,4,1741.22,3,At Risk
13158.0,95,4,1201.06,3,At Risk
13159.0,9,4,1437.85,3,At Risk
13160.0,22,1,91.8,3,At Risk
13161.0,313,1,112.75,1,Lost Customers
13162.0,122,4,1688.29,3,At Risk
13165.0,46,2,1021.48,3,At Risk
13166.0,283,1,417.2,1,Lost Customers
13167.0,19,4,791.33,3,At Risk
13168.0,36,4,1319.19,3,At Risk
13169.0,64,2,712.88,3,At Risk
13170.0,27,1,116.00999999999999,3,At Risk
13171.0,22,3,468.41,3,At Risk
13173.0,4,2,353.65,3,At Risk
13174.0,16,3,2817.03,0,Loyal Customers
13176.0,46,1,492.84,3,At Risk
13177.0,65,1,282.45,3,At Risk
13178.0,26,11,5725.47,2,Champions
13182.0,45,1,121.18,3,At Risk
13183.0,8,9,3957.78,0,Loyal Customers
13184.0,15,10,1701.29,0,Loyal Customers
13185.0,268,1,71.4,1,Lost Customers
13186.0,40,3,1575.89,3,At Risk
13187.0,337,1,236.02,1,Lost Customers
13188.0,11,1,114.60000000000001,3,At Risk
13189.0,19,2,260.68,3,At Risk
13192.0,95,2,911.94,3,At Risk
13193.0,61,1,117.88,3,At Risk
13194.0,136,1,60.7,3,At Risk
13196.0,11,4,1797.78,0,Loyal Customers
13198.0,10,6,3401.2400000000002,0,Loyal Customers
13200.0,19,4,870.09,3,At Risk
13203.0,10,4,869.46,3,At Risk
13207.0,15,2,250.26000000000002,3,At Risk
13208.0,59,6,1223.9,0,Loyal Customers
13209.0,30,8,5891.61,2,Champions
13210.0,94,1,353.48,3,At Risk
13211.0,10,3,1197.42,3,At Risk
13212.0,20,3,788.08,3,At Risk
13213.0,57,5,1520.58,0,Loyal Customers
13216.0,268,1,333.74,1,Lost Customers
13217.0,122,3,533.98,3,At Risk
13218.0,127,1,62.63999999999999,3,At Risk
13220.0,78,4,819.2900000000001,3,At Risk
13221.0,240,2,847.41,1,Lost Customers
13223.0,200,2,163.20000000000002,1,Lost Customers
13224.0,60,2,2155.95,3,At Risk
13225.0,3,7,6463.84,2,Champions
13226.0,273,1,108.21000000000001,1,Lost Customers
